	Lysipomia_aretioides	Lysipomia_bilineata	Lysipomia_caespitosa	Lysipomia_crassomarginata	Lysipomia_cuspidata	Lysipomia_cylindrocarpa	Lysipomia_globularis	Lysipomia_hutchinsonii	Lysipomia_laciniata	Lysipomia_laricina	Lysipomia_lehmannii	Lysipomia_montioides	Lysipomia_multiflora	Lysipomia_muscoides	Lysipomia_oellgaardii	Lysipomia_sparrei	Lysipomia_speciosa	Lysipomia_sphagnophila	Lysipomia_subpeltata	Lysipomia_vitreola
Parque Nacional Natural de Sumapaz, quebrada la Tasajera	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Parque Nacional Podocarpus, Paramo del Cerro Toledo	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Pasca, vereda Cajitas, cerca a la Laguna Negra	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
Piedras Gordas, Paramo de Chingaza	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Puerto Nuevo Napo, Rio Anatenario	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Represa Neusa	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Reserva Ecologica Antisana, Laguna La Mica 	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Reserva Ecologica Cotacachi-Cayapas, Laguna Cuicocha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Reserva Ecologica El Refugio, a 150 m al SE del campamento Refugio	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Reserva Faunistica del Chimborazo, Paramo de Totorillas	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Reserva Forestal Sumaco, Crater de Cerro Sumaco	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Rio Langoa, E de Latacunga	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Santuario de Flora y Fauna de Iguaque, Paramo alrededor de la Laguna	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Santuario Nacional Megantoni	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Saraguro-Loja Km 124 desvio hacia Fierro Urco	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0
Sierra Nevada de Santa Marta	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Sierra Nevada del Cocuy, Quebrada El Playon	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Valle Collanes, Paramo de los Altares	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Vereda de Duartes, parte alta montaña de Duartes	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Vereda San Antonio, sector Laguna Verde	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Volcan Galeras	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
