"","area","I","Ie","Is","Ise","W","We","Ws","Wse","rich","endem","jtopol","jtip"
"70","2 millas norte de Adelaide, Cañon Phantom ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"71","2 millas norte de Monmouth, 5 millas oeste de la via estatal 99W",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"72","2 millas Norte de Swain's Lock",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"73","2 millas sur de Fallas Selway ",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"74","2/3 millas Este por aire de Lago Owyhee",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"75","20 km al oeste de Gaziantep Durnalik",2,2,0,0,2.571,2.571,0,0.001,1,0,0,0
"76","20 km N de Talanga a lo largo de la carretera a Cedros ",32,32,0.003,0.004,1.636,1.636,0,0,1,0,0,0
"77","20 millas N de Durango",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"78","21 millas sur de Marsing",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"79","22 milas del valle  arroyo Stann ",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"80","24 km noroeste de Fraile",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"81","25 millas pasado el Puente Guacamallo, carretera a Millonario",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"82","25 millas Sur de la confluencia de Arroyo Two y Half ",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"83","25 millas W de Trujillo, Reserva Meadows",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"84","25-27 km NE de Huixtla a lo largo de la carretera a Motozintla",4,1.333,0,0,3.686,1.229,0.001,0,3,0,0,0
"85","29 millas Suroeste de la desviación del Arroyo Bear y Arroyo Jensen ",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"86","3 km al E de Alba de Tormes",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"87","3 km al N de San Nicolas",32,32,0.003,0.004,1.636,1.636,0,0,1,0,0,0
"88","3 km al NE de Bolonia",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"89","3 km al S de Pollos",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"90","3 km al W de Las Ventas",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"91","3 km al W de San Roque",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"92","3 km de Entrerrios en la carretera a Santa Rosa de Osos",1,1,0,0,1.5,1.5,0,0,1,0,0,0
"93","3 km Sur de Kirare",2,2,0,0,1.286,1.286,0,0,1,0,0,0
"94","3 millas N de Puerto Wald",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"95","3 millas oeste de Arroyo Wolf ",2,1,0,0,4.2,2.1,0.001,0.001,2,0,0,0
"96","3 millas sur de Coban a lo largo de la carretera # 17",3,1.5,0,0,2.411,1.205,0,0,2,0,0,0
"97","3 millas sureste de Silverton",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"98","3 millas W de Colorado, carretera Lagos Blue ",2,1,0,0,2.836,1.418,0.001,0,2,0,0,0
"99","32,2 km E de Junacas en el camino a Entre Rios",1,1,0,0,1.5,1.5,0,0,1,0,0,0
"100","35 km oeste de Arroyo Hondo",2,2,0,0,1.286,1.286,0,0,1,0,0,0
"101","4 k al S de Valdearcos",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"102","4 km al N de Aguilar de la Frontera",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"103","4 km al NE de Santa Maria del Oro, carretera a Laguna ",4,4,0,0.001,1.286,1.286,0,0,1,0,0,0
"104","4 km al NW de San Jose",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"105","4 km al oeste de Naranjo, via 10 entre Paraíso y Turrialba",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"106","4 km al S de Valdepeas de la Sierra",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"107","4 km al S de Zaorejas",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"108","4 km al S del Santuario de NS de la Luz",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"109","4 km al W de Venialbo",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"110","4 km oeste de Villa Mills, carretera Interamericana",5,2.5,0,0,3.2,1.6,0.001,0,2,0,0,0
"111","4 km S de Puerto Escondido en carretera a Aceitillar",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"112","4 millas de Esteli",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"113","4 millas N de Corvallis",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"114","4 millas Oeste de Prospect",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"115","4 millas sureste de Moscow",1,1,0,0,1.636,1.636,0,0,1,0,0,0
"116","4 millas suroeste de Harpster",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"117","40 km antes de Purmamarca, ruta 52",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"118","440 km de la presa del Lago Zongo ",3,1.5,0,0,3.136,1.568,0.001,0,2,0,0,0
"119","45 Km al SW de San Jeronimo de Coatlan",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"120","47 km S de Jinotega ",32,32,0.003,0.004,1.636,1.636,0,0,1,0,0,0
"121","5 km al E de Torrecampo",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"122","5 km al norte Oeblarn, ladera sur de Grimmig",3,1.5,0,0,4.25,2.125,0.001,0.001,2,0,0,0
"123","5 km al SE de Adanero",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"124","5 km al sur del Puente de Seattle, orilla oeste del rio Duwamish",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"125","5 km al SW de Agreda",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"126","5 km al SW de Matalebreras",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"127","5 km despues de Temascaltepec, rumbo a Tejupilco",15,2.5,0.001,0,7.995,1.333,0.001,0,6,0,0,0
"128","5 km E de Mera",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"129","5 km este de Morazan en la carretera a Yoro",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"130","5 km Este de Puerto del Gallo en la carretera a Filo del Caballo",4,4,0,0.001,1.286,1.286,0,0,1,1,0,0
"131","5 km NE de Cuapa a lo largo de la carretera a Cerro Oluma",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"132","5 km NNW Monteverde, en la carretera a Las Nubes",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"133","5 km por la carretera N de San Jose del Pacifico",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"134","5 km SE de Jitotol a lo largo de la carretera a Bochil",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"135","5 millas al sur de Kelso",2,2,0,0,1.286,1.286,0,0,1,0,0,0
"136","5 millas E de Kamela",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"137","5 millas E de Parlin",1,1,0,0,1.636,1.636,0,0,1,0,0,0
"138","5 millas este de Arroyo Muddy, Refugio de Fauna William L Finley ",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"139","5 millas Este de Featherville",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"140","5 millas Este de Tampico ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"141","5 millas norte de Potlatch ",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"142","5 millas oeste de Anatone Butte, 10 millas suroeste de Anatone",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"143","5 millas S de Ashland",2,1,0,0,2.4,1.2,0,0,2,0,0,0
"144","5 millas S de confluencia de Gandy Gulch y Rio Taylor ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"145","5 millas S de Rio Rogue ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"146","5 millas W de Villa Rollinsvill",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"147","52 km N de San Fernando, Valle del Rio San Fernando ",32,32,0.003,0.004,1.636,1.636,0,0,1,0,0,0
"148","54 km S de Cloudcroft en la autopista 244",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"149","5-7 km al W de Pochotitan ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"150","59 millas W y 11 millas S de Sacramento",1,1,0,0,1.636,1.636,0,0,1,0,0,0
"151","6 Km SE de La Trinidad, La Sierra Cebolla",2,2,0,0,1.286,1.286,0,0,1,0,0,0
"152","6 km sur de Guatemala en la via CA-1 ",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"153","6 millas N de McDermitt",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"154","6 millas N de Tapulula",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"155","6 millas W del Paso La Veta ",1,1,0,0,1.636,1.636,0,0,1,0,0,0
"156","64 km E de Fuerte Bidwell en el camino a Embalse Tarifa",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"157","65 km al S de la ciudad de Esteli, a orillas del puente del Rio Estanzuela",32,32,0.003,0.004,1.636,1.636,0,0,1,0,0,0
"158","65 millas Este de Pierce",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"159","66 km N de la carretera a Valle del Zongo, en carretera a Chacaltaya",4,4,0,0.001,1.2,1.2,0,0,1,0,0,0
"160","67 km E de Fresno FSC, Bosque Nacional Sierra ",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"161","7 km al SW de la carretera El Izote-V Carranza",2,2,0,0,1.286,1.286,0,0,1,0,0,0
"162","7 km en la pista de Gunung Karangan a Rantemario",4,4,0,0.001,9,9,0.002,0.002,1,0,0,0
"163","7 millas norte de Dickey",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"164","8 km al oeste de Leibnitz",2,2,0,0,1.636,1.636,0,0,1,0,0,0
"165","8 km al S de Utrera",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"166","8 km W de Santa Fe en la carretera a Catarama",9,4.5,0.001,0.001,2.259,1.129,0,0,2,0,0,0
"167","8 millas al suroeste de la carretera EE.UU. 191 desvío Cañon Hoback ",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"168","88 km este de Boa Nova ",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"169","88-90 millas SE de Palenque ",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"170","9 km al NE de Aldea Quintana",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"171","9 km NE de Vara Blanca, Finca Murillo",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"172","9 km oeste de Chuspipata",4,4,0,0.001,1.385,1.385,0,0,1,0,0,0
"173","9 km por la carretera sureste de Ciudad Hidalgo",2,2,0,0,1.286,1.286,0,0,1,0,0,0
"174","9 millas Este de Weiser",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"175","94 millas NE de Temescaltepec en el camino de vuetla hacia Toluca",2,2,0,0,1.286,1.286,0,0,1,0,0,0
"176","96 milla Sur del Puente Jalatengo ",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"177","A lo largo de la carretera de Chiriaco Hacia Bagua",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"178","A lo largo de la via Méxicana 190 en el Paraje Navenchauk",2,2,0,0,1.286,1.286,0,0,1,0,0,0
"179","A lo largo del camino a Isla Three",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"180","Abiego, Arroyo Barranco del Regatillo",9,1.8,0.001,0,11.643,2.329,0.002,0.001,5,0,0,0
"181","Abovian, 10 km Este de Yerevan, entre villa Hatsavan y Garni",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"182","Adams ",4,4,0,0.001,1.385,1.385,0,0,1,0,0,0
"183","Afluente Hame´ara",2,2,0,0,2.571,2.571,0,0.001,1,0,0,0
"184","Afluente Sion",2,2,0,0,2.571,2.571,0,0.001,1,0,0,0
"185","Afluente Tibbena",2,2,0,0,2.571,2.571,0,0.001,1,0,0,0
"186","Afluente Yoresh",2,2,0,0,2.571,2.571,0,0.001,1,0,0,0
"187","Agua Escondida ",34,17,0.003,0.002,2.922,1.461,0.001,0,2,0,0,0
"188","Agua Verde ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"189","Aguacate",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"190","Aia Aia , Arboreto de Iturraran",2,2,0,0,2.25,2.25,0,0.001,1,0,0,0
"191","Ajacuba J",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"192","Akeschterbaach",2,2,0,0,1.636,1.636,0,0,1,0,0,0
"193","Al noroeste de Leavenworth, Montaña Tumwater ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"194","Alameda, Cañon Gwin",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"195","Alameda, Livermore, Arroyo Mocho",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"196","Alange, Castillo de Alange",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"197","Albacete, Los Yesares",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"198","Alcala de los Gazules, Parque Nacional Los Alcornocales ",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"199","Alcala de Xivert",1,1,0,0,2.571,2.571,0,0.001,1,0,0,0
"200","Alciano",2,2,0,0,2.25,2.25,0,0.001,1,0,0,0
"201","Alconera, Sierra de Alconera",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"202","Aldamin",6,3,0.001,0,4.821,2.411,0.001,0.001,2,0,0,0
"203","Aldea Chamac",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"204","Aldea Chichim, Todos Santos",4,4,0,0.001,2,2,0,0,1,0,0,0
"205","Alexandria",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"206","Algeciras, Cortijo de Marchenita",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"207","Alicante, Sierra de Portitxol",2,1,0,0,5.571,2.786,0.001,0.001,2,0,0,0
"208","Alishan",5,2.5,0,0,11,5.5,0.002,0.001,2,0,0,0
"209","Alkirsch",2,2,0,0,1.636,1.636,0,0,1,0,0,0
"210","Almandoz",4,4,0,0.001,2.571,2.571,0,0.001,1,0,0,0
"211","Almuñecar, Parque Nacional de las Sierras de Tejeda",2,1,0,0,5.25,2.625,0.001,0.001,2,0,0,0
"212","Alozaina, Fuente de la Higuera",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"213","Alpe Brouillot, Valle de Cogne",188,188,0.018,0.024,6,6,0.001,0.001,1,0,0,0
"214","Alpe Schuttanna",2,2,0,0,2.25,2.25,0,0.001,1,0,0,0
"215","Alpes Walliser ",188,188,0.018,0.024,6,6,0.001,0.001,1,0,0,0
"216","Altea",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"217","Alto Huentitan ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"218","Alto La Escalera, Falda Sur camino a Bajo Arias",32,32,0.003,0.004,1.636,1.636,0,0,1,0,0,0
"219","Alto Rio Buritaca, Ciudad Perdida",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"220","Altos Tablazo, Cerros del Tablazo ",32,32,0.003,0.004,1.636,1.636,0,0,1,0,0,0
"221","Amador, Rio Cosumnes ",2,1,0,0,4.2,2.1,0.001,0.001,2,0,0,0
"222","Amaguaña, Bosque Protector Pasochoa ",2,1,0,0,2.559,1.279,0,0,2,0,0,0
"223","Amatlan de los Reyes ",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"224","Amendoeira, Fonte Filipe",2,1,0,0,5.571,2.786,0.001,0.001,2,0,0,0
"225","Amezketa, Sierraa Aralar, Urdanaize",6,3,0.001,0,4.821,2.411,0.001,0.001,2,0,0,0
"226","Ammendale",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"227","Amparo",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"228","Anavim",2,2,0,0,2.571,2.571,0,0.001,1,0,0,0
"229","Ancohuma",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"230","Angangueo",2,2,0,0,1.2,1.2,0,0,1,0,0,0
"231","Anguiano, Valvanera, cerca del monasterio",4,4,0,0.001,2.571,2.571,0,0.001,1,0,0,0
"232","Anie, Macizo de Larra",6,3,0.001,0,4.821,2.411,0.001,0.001,2,0,0,0
"233","Annasberg",2,2,0,0,1.636,1.636,0,0,1,0,0,0
"234","Antilope, carretera 8 millas al este de la carretera 62 en la ciudad  White ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"235","Anue",4,4,0,0.001,2.571,2.571,0,0.001,1,0,0,0
"236","Apacheta",4,4,0,0.001,1.385,1.385,0,0,1,0,0,0
"237","Aranaz",6,3,0.001,0,4.821,2.411,0.001,0.001,2,0,0,0
"238","Arantepecua ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"239","Arce",6,3,0.001,0,4.821,2.411,0.001,0.001,2,0,0,0
"240","Archipelago  Alexander, Lago Shelokum",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"241","Archipielago Alexander, Lago Orton, Revillagigedo I",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"242","Ardez, Steinsberg",1,1,0,0,2,2,0,0,1,0,0,0
"243","Area de Conservacion Regional Imiria",3,1,0,0,3.118,1.039,0.001,0,3,0,0,0
"244","Area de Proteccion Cerro Williams",2,1,0,0,2.4,1.2,0,0,2,0,0,0
"245","Area de Recreacion Montaña Laguna",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"246","Area Natural de Manejo Integrado Apolobamba",8,4,0.001,0.001,2.585,1.292,0,0,2,0,0,0
"247","Arenero, Cerro Cuchillo, Albacete",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"248","Arequipa, Chivay, Nevado Huarancante",4,4,0,0.001,1.385,1.385,0,0,1,0,0,0
"249","Aristeo ",2,2,0,0,1.286,1.286,0,0,1,0,0,0
"250","Arlberg",3,1.5,0,0,4.25,2.125,0.001,0.001,2,0,0,0
"251","Arocutin",2,2,0,0,1.286,1.286,0,0,1,0,0,0
"252","Arroyo Alpine ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"253","Arroyo Beaver ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"254","Arroyo Big Honey ",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"255","Arroyo Boles, 55 km E de SE del Reservorio del Lago Clear ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"256","Arroyo Caramelito",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"257","Arroyo Corral",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"258","Arroyo Cow ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"259","Arroyo de Carondio, Allande, Asturias",6,3,0.001,0,4.821,2.411,0.001,0.001,2,0,0,0
"260","Arroyo de Gadea, Este de Barbate",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"261","Arroyo de Paredones, Sierra de Aguas",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"262","Arroyo de Valdecesar",4,4,0,0.001,2.571,2.571,0,0.001,1,0,0,0
"263","Arroyo Deer",1,1,0,0,1.636,1.636,0,0,1,0,0,0
"264","Arroyo del Cañizal en el cruce con la via LR - 283",11,1.571,0.001,0,16.893,2.413,0.003,0.001,7,0,0,0
"265","Arroyo Dry",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"266","Arroyo Eagle, 7 mi NW de Ruidoso",4,1,0,0,5.673,1.418,0.001,0,4,0,0,0
"267","Arroyo Eighteenmile, sur de Winnipeg",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"268","Arroyo El Cebollin, entre El Oso y La Sierra Obscura",2,2,0,0,1.286,1.286,0,0,1,0,0,0
"269","Arroyo Guano ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"270","Arroyo Hall, Bosque Nacional Roosevelt",2,1,0,0,3.021,1.51,0.001,0,2,0,0,0
"271","Arroyo Ice",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"272","Arroyo Indian, Rancho Gray ",2,2,0,0,1.286,1.286,0,0,1,0,0,0
"273","Arroyo James carretera de Atlanta a Rocky Bar, 5 millas de Atlanta",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"274","Arroyo Jarboe ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"275","Arroyo Leroux",1,1,0,0,1.636,1.636,0,0,1,0,0,0
"276","Arroyo Moccasin, Montañas Salmon ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"277","Arroyo Montes Deep, Cañon Goshute",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"278","Arroyo Mora, Oeste de Villalon de Campos",8,2,0.001,0,10.393,2.598,0.002,0.001,4,0,0,0
"279","Arroyo Morgan, 10 millas norte de Challis",10,10,0.001,0.001,1.636,1.636,0,0,1,0,0,0
"280","Arroyo Morgan, Montaña Taylor ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
